,Código municipio,Municipio,2009_1,2009_2,2009_3,2009_4,2010_5,2009_6,2009_7,2009_8,2009_9,2009_10,2009_11,2009_12,2011_13,2009_14,2009_15,2009_16,2001_17,2009_18,2009_19,2009_20,2005_21,2005_22,2009_23,2009_24,2005_25,2011_26,2009_27,2009_28,2009_29,2009_30,2009_31,2012,2009_33,2009_34,2009_35,2009_36,2009_37,2009_38,2009_39,2009_40,2009_41,2009_42,2010_43,2010_44,2010_45,2011_46,2009_47,2009_48,2011_49,2009_50,2009_51,2009_52,2005_53,2005,2006_55,2009_56,2009_57,2009_58,2006_59,2007,2009_61,2001_62,2010,2009_64,2011_elecc,2011_partic
119,20042,Ibarra,57.14,3.0,0.0,237.05,39.0,4.6,4.99,0.0,2.0,96.71,0.0,3.46,156.14,9.46,3.92,867.0,86.57,36.85,4.6,0.0,298.64,52.48,0.0,3.92,17.16,71.1,22.12,52.59,16.29,18.73,17.78,5.3,63.49,3.92,14.03,244.11,4.6,0.0,0.65,0.0,0.0,12.38,18.06,52.29,17.49,98.96,4.54,4335.0,85.28,0.23,7.15,3.0,1.8,44.6,84.83,16.0,5.52,10.83,1.41,1.67,0.02,12.66,13.86,17.43,65.25,2
120,48048,Ibarrangelu,66.67,24.39,0.0,192.18,37.3,32.57,9.75,0.0,3.0,98.9,0.0,-1.63,199.28,3.25,0.0,39.49,100.0,100.0,16.29,0.0,239.6,32.59,0.0,0.0,50.66,65.1,222.76,62.96,26.46,15.79,2.63,9.76,81.58,24.35,9.58,526.35,16.29,0.0,0.68,159.61,0.0,0.0,13.31,67.78,38.7,98.18,2.44,616.0,84.36,0.0,3.25,1.57,0.0,60.51,116.46,4.49,17.92,9.76,16.52,21.54,19.61,1.97,16.92,48.39,88.83,1
121,20043,Idiazabal,70.0,56.56,0.0,247.68,43.0,4.42,5.29,2.21,3.0,96.71,0.0,3.09,159.62,8.83,4.86,76.75,97.67,20.73,4.42,4.42,225.84,44.33,0.0,5.81,36.2,66.4,22.98,59.66,19.08,14.21,19.8,11.92,65.99,3.53,14.36,781.19,8.85,0.0,0.83,23.44,0.0,0.0,18.01,56.74,18.76,98.86,6.32,2264.0,73.28,0.44,12.37,1.06,0.17,65.63,107.03,13.42,18.58,13.7,1.85,10.0,10.98,17.55,28.19,8.65,73.28,1
122,48094,Igorre,71.43,3.77,0.0,190.14,37.2,2.36,3.07,2.12,3.0,96.44,0.0,2.12,181.1,15.1,9.44,244.97,90.24,20.56,2.36,2.36,261.18,41.31,0.0,3.85,41.79,74.9,31.61,48.49,15.46,17.27,12.95,7.12,69.78,7.08,11.89,452.03,14.15,2.36,0.69,17.46,0.0,0.0,19.04,57.57,19.2,93.96,7.06,4238.0,66.78,0.47,8.26,3.08,1.85,68.5,93.47,15.98,20.05,12.03,0.8,6.9,7.62,23.57,13.68,11.24,75.17,1
123,20044,Ikaztegieta,33.33,38.46,0.0,300.0,38.1,42.55,16.82,40.43,3.0,96.71,0.0,4.27,155.41,0.0,4.3,232.5,97.18,49.78,0.0,0.0,748.15,36.37,100.0,13.33,52.75,65.3,47.01,56.57,15.48,14.0,32.0,9.09,54.0,4.3,16.34,166.26,0.0,0.0,0.62,0.0,59.57,0.0,19.66,61.87,14.87,100.0,4.09,465.0,85.56,2.13,0.0,4.35,1.0,47.0,103.26,11.49,21.28,4.27,0.7,6.43,21.73,27.17,16.83,27.78,72.4,2
124,20045,Irun,16.13,5.84,46.12,139.49,36.1,1.97,0.92,3.1,3.0,99.73,18.03,1.31,186.61,18.52,12.91,1424.0,74.97,50.2,3.94,2.63,318.36,42.77,98.26,2.94,42.0,72.1,45.75,55.23,17.41,19.91,6.07,0.9,74.02,6.43,14.05,276.25,6.07,0.33,0.65,14.54,0.33,35.4,17.5,60.52,19.69,57.12,7.87,60951.0,48.06,1.49,7.1,10.65,1.1,49.63,83.61,2.26,1.69,10.52,1.57,1.82,9.83,10.76,17.3,6.06,55.69,2
125,20046,Irura,42.86,43.98,0.0,234.62,23.2,0.0,3.3,0.0,2.0,96.71,0.0,20.7,155.56,5.28,5.94,505.0,78.41,34.6,0.0,6.6,221.55,31.61,0.0,3.7,52.75,77.1,45.92,46.66,8.18,14.45,24.86,0.0,60.69,5.94,20.53,71.62,0.0,0.0,0.79,0.0,0.0,0.0,23.69,67.81,21.79,100.0,5.68,1515.0,85.96,0.0,0.66,10.8,1.67,61.33,94.03,0.31,0.63,24.58,0.05,4.88,103.08,15.63,7.49,9.04,63.64,2
126,1027,Iruraiz-Gauna,31.82,53.78,0.0,542.07,49.2,0.0,0.0,88.06,2.0,99.73,0.0,-1.99,99.34,2.03,2.03,10.47,100.0,79.71,0.0,0.0,234.5,17.13,0.0,0.0,47.43,64.7,17.93,50.76,16.84,33.33,16.67,64.91,50.0,6.09,14.0,183.56,0.0,0.0,1.0,0.0,0.0,0.0,20.92,54.03,14.81,100.0,2.43,493.0,84.17,0.0,20.28,1.41,55.5,35.71,153.9,1.36,17.61,7.97,5.02,18.51,18.51,25.0,35.69,131.58,61.66,2
127,1901,Iruña Oka/Iruña de Oca,50.0,18.09,0.0,103.94,37.5,0.0,3.2,0.0,3.0,99.73,0.0,11.95,275.17,4.5,3.12,54.27,97.73,24.44,3.36,3.46,431.76,24.07,100.0,4.41,7.04,79.6,40.27,45.59,10.46,22.55,13.19,7.02,64.26,5.54,17.04,976.54,6.73,0.0,1.03,2.69,0.0,120.13,17.78,57.36,16.31,91.21,5.85,2887.0,78.74,0.34,10.39,4.96,28.29,52.74,114.08,0.76,6.73,16.38,2.53,11.93,72.46,11.8,19.87,9.4,66.03,2
128,48049,Ispaster,25.0,22.56,0.0,187.13,36.8,0.0,0.0,46.41,3.0,98.9,0.0,-6.02,183.55,4.53,1.51,29.29,100.0,43.14,0.0,0.0,235.93,67.23,0.0,8.0,42.0,69.2,33.08,60.68,24.17,7.69,20.51,30.77,71.79,12.08,11.18,325.82,0.0,0.0,0.81,58.38,0.0,0.0,13.81,51.58,23.13,100.0,1.06,662.0,86.9,0.0,6.04,0.23,0.84,78.5,134.81,5.77,4.49,13.53,19.82,25.61,6.77,22.54,15.51,23.53,82.28,1
