,2009_1,2017_2,2009_3,2009_4,2016_5,2009_6,2017_7,2009_8,2016_9,2013_10,2015_11,2017_12,2017_13,2017_14,2017_15,2017_16,2009_17,2001,2017_19,2016_20,2017_21,2005_22,2005_23,2016_24,2017_25,2005,2011_27,2017_28,2017_29,2017_30,2017_31,2017_32,2017_33,2017_34,2017_35,2017_36,2016_37,2013_38,2016_39,2016_40,2017_41,2016_42,2016_43,2016_44,2016_45,2016_46,2011_47,2017_48,2017_49,2011_50,2015_51,2009_52,2017_53,2017_54,2016_55,2016_56,2016_57,2009_58,2009_59,2017_60,2017_61,2006,2007,2017,2011_65,2016_66,2009_67
142,75.0,13.22,0.0,287.95,43.9,0.0,5.56,0.0,3.0,99.45,76.76,2.95,174.93,4.41,0.0,94.52,75.0,97.69,28.35,4.88,0.0,277.45,40.82,0.0,6.06,41.29,72.9,26.92,67.77,17.05,8.39,9.68,10.97,70.97,6.85,18.67,171.51,9.89,171.51,0.78,5.9,0.0,0.0,15.74,71.36,33.43,100.0,2.16,2035.0,84.4,0.0,287.95,3.44,1.24,0.98,64.84,110.7,16.67,14.08,9.83,2.95,1.34,4.03,16.82,17.12,31.13,15.87
143,100.0,8.1,0.0,335.97,52.2,0.0,6.65,0.0,3.0,99.18,19.05,4.02,203.88,0.0,0.0,44.7,100.0,100.0,42.31,0.0,0.0,270.85,49.98,0.0,0.0,45.12,70.4,0.0,66.0,10.44,17.24,6.9,27.59,48.28,4.05,22.09,152.02,0.0,152.02,0.88,0.0,0.0,0.0,20.09,59.35,20.09,100.0,0.4,249.0,86.44,0.0,335.97,16.06,0.61,0.36,60.14,172.3,26.32,39.53,12.05,4.02,5.37,11.93,19.71,18.1,24.53,15.62
144,100.0,5.73,29.81,236.9,51.9,0.0,2.14,2.07,3.0,100.0,98.27,-0.22,165.43,8.92,5.51,3121.0,100.0,67.67,43.7,3.86,0.55,319.03,87.18,131.88,3.08,27.5,75.0,17.35,71.83,23.89,18.22,5.0,1.19,75.59,5.45,14.01,64.15,5.53,64.15,0.6,9.69,0.0,15.9,19.9,56.52,17.86,88.07,7.0,18166.0,77.43,1.27,236.9,7.76,16.92,1.72,27.84,79.3,29.83,16.86,8.53,-0.22,1.01,11.03,3.26,9.14,15.13,10.46
145,45.16,3.47,0.0,170.9,38.4,3.26,1.41,3.26,3.0,100.0,94.27,-0.22,160.0,10.4,7.43,484.58,45.16,77.04,31.03,3.84,1.1,422.59,24.96,115.38,4.6,50.19,72.6,29.49,69.74,24.75,10.19,8.34,3.52,77.94,5.06,12.57,96.51,7.05,96.51,0.59,2.1,0.88,13.81,19.96,58.38,19.08,67.26,4.29,18133.0,55.56,1.59,170.9,3.14,5.7,2.54,69.0,86.6,14.93,13.03,8.77,-0.22,4.26,13.05,-1.44,12.38,24.04,8.7
146,60.0,5.91,0.0,65.83,35.7,0.0,3.91,0.0,3.0,100.0,88.24,-2.52,172.19,1.69,1.69,146.91,60.0,100.0,77.17,8.47,0.0,197.18,41.12,0.0,4.17,66.88,70.8,27.0,72.97,19.16,14.94,1.15,6.9,77.01,7.59,16.13,71.86,0.0,71.86,0.92,20.17,0.0,0.0,13.83,79.12,40.92,99.02,3.7,1190.0,85.59,0.0,65.83,8.4,6.3,0.49,36.54,176.7,4.43,22.54,7.56,-2.52,6.48,9.32,19.36,10.0,14.31,5.32
147,66.67,3.96,66.87,217.28,51.6,1.87,2.52,3.55,3.0,99.18,112.41,0.18,152.11,7.75,3.6,479.64,66.67,90.72,48.7,3.61,1.8,213.55,26.45,135.19,8.11,32.6,71.0,21.08,68.97,18.47,18.53,14.71,3.24,63.53,5.05,17.29,110.38,7.32,110.38,0.69,10.61,0.0,105.16,21.61,59.67,19.86,94.78,8.58,5559.0,76.76,0.72,217.28,4.86,6.94,0.43,63.68,88.0,6.34,10.28,8.99,0.18,2.27,10.04,6.84,12.06,15.67,5.77
148,66.67,16.48,0.0,12.66,38.5,0.0,9.9,0.0,3.0,99.18,102.7,2.75,206.13,0.0,0.0,108.68,66.67,98.44,37.64,0.0,0.0,427.21,86.02,0.0,0.0,52.75,60.6,32.97,72.86,20.39,27.03,18.92,2.7,51.35,5.49,18.18,294.54,0.0,294.54,0.97,0.0,0.0,0.0,18.24,48.11,11.64,93.1,8.26,363.0,81.58,2.75,12.66,19.28,2.99,0.3,54.19,101.2,20.34,30.38,5.51,2.75,2.15,3.85,-5.47,19.35,49.74,28.99
149,92.0,2.6,36.72,206.7,53.4,1.15,4.64,5.74,3.0,99.2,43.93,-4.62,153.48,11.23,6.03,200.33,92.0,71.51,29.79,4.71,1.19,338.35,67.33,116.22,4.39,40.2,76.5,17.14,74.92,24.89,14.34,11.75,4.18,69.72,4.37,13.83,116.34,6.97,116.34,0.66,6.28,0.95,49.05,18.27,57.86,19.64,83.6,3.63,8438.0,57.58,1.06,206.7,0.59,2.92,0.31,79.13,85.1,10.4,13.99,7.23,-4.62,9.88,3.31,-2.12,13.62,32.33,12.48
150,22.22,15.3,0.0,265.37,34.4,0.0,4.63,20.05,3.0,99.18,34.82,-2.09,201.09,8.34,2.09,166.63,22.22,92.73,32.7,6.93,6.98,316.33,58.79,130.0,4.65,26.2,61.6,26.43,75.83,22.33,12.5,12.5,3.41,71.59,7.65,15.42,176.05,6.81,176.05,0.68,6.98,6.98,0.0,20.0,55.67,19.09,97.52,7.61,1433.0,80.31,0.0,265.37,0.7,2.86,1.16,71.74,93.7,3.56,6.68,9.07,-2.09,0.58,7.75,-0.42,16.81,32.39,8.93
151,75.0,42.28,0.0,222.63,45.5,0.0,5.33,0.0,3.0,100.0,45.03,2.22,501.16,5.64,2.25,39.17,75.0,100.0,24.41,5.72,0.0,351.58,9.3,0.0,5.17,44.45,73.6,49.04,57.76,17.17,6.79,37.86,5.71,49.64,7.33,16.83,57.58,11.74,57.58,0.99,21.11,0.0,0.0,20.11,60.78,21.42,97.56,5.94,1800.0,73.21,0.0,222.63,32.22,6.84,3.79,46.51,109.3,0.42,7.91,8.33,2.22,0.87,13.34,13.42,15.76,20.02,21.01
