,Código municipio,Municipio,2009_1,2017_2,2009_3,2009_4,2016_5,2009_6,2017_7,2009_8,2016_9,2013_10,2015_11,2017_12,2017_13,2017_14,2017_15,2017_16,2009_17,2001,2017_19,2016_20,2017_21,2005_22,2005_23,2016_24,2017_25,2005,2011_27,2017_28,2017_29,2017_30,2017_31,2017_32,2017_33,2017_34,2017_35,2017_36,2016_37,2013_38,2016_39,2016_40,2017_41,2016_42,2016_43,2016_44,2016_45,2016_46,2011_47,2017_48,2017_49,2011_50,2015_51,2009_52,2017_53,2017_54,2016_55,2016_56,2016_57,2009_58,2009_59,2017_60,2017_61,2006,2007,2017,2011_65,2016_66,2009_67
10,20006,Alkiza,0.0,"5,51","0,00","201,13","41,70","0,00","25,53","0,00","3,00","99,18","29,24","13,62","210,34","5,51","2,75","30,56","0,00","97,67","100,00","0,00","0,00","261,52","61,54","0,00","12,50","52,75","69,30","8,26","76,44","14,71","8,33","5,56","30,56","55,56","8,26","26,16","137,62","0,00","137,62","0,89","32,70","0,00","0,00","20,27","56,36","17,87","100,00","2,45","367,00","86,54","0,00","201,13","2,72","0,32","0,66","68,94","139,80","12,50","14,16","19,07","13,62","4,66","8,33","13,98","12,74","22,84","13,70"
11,48912,Alonsotegi,87.5,"9,03","0,00","318,25","39,80","0,00","2,99","8,84","3,00","99,45","33,82","-1,38","171,08","5,90","2,78","143,56","87,50","91,09","49,40","3,50","0,00","514,30","91,62","0,00","5,33","37,68","64,40","40,64","64,03","21,34","15,81","19,07","6,98","58,14","6,95","14,17","2,07","10,55","2,07","0,58","4,14","0,00","0,00","18,78","56,96","18,58","100,00","4,38","2.900,00","83,38","0,70","318,25","4,48","2,12","0,30","51,49","76,80","6,86","10,96","10,34","-1,38","3,32","6,02","3,42","14,46","33,45","11,73"
12,20906,Altzaga,100.0,"5,85","0,00","213,84","55,60","62,89","0,00","0,00","3,00","99,18","14,08","5,88","170,27","5,85","5,85","69,11","100,00","100,00","100,00","0,00","0,00","213,68","36,01","0,00","0,00","38,96","68,80","17,54","95,40","17,65","31,25","6,25","18,75","43,75","5,85","25,29","319,85","0,00","319,85","0,63","47,06","0,00","0,00","14,79","63,38","26,76","100,00","1,76","170,00","82,09","0,00","213,84","-5,88","1,54","3,66","62,60","137,40","163,16","389,94","11,76","5,88","2,40","11,68","8,97","20,55","40,85","54,05"
13,20007,Altzo,80.0,"4,76","0,00","221,11","53,60","25,13","26,82","50,25","3,00","99,18","81,76","7,03","147,62","0,00","0,00","43,66","80,00","98,82","26,55","0,00","0,00","382,39","54,38","0,00","20,00","52,75","66,50","4,76","61,13","11,94","15,56","20,00","11,11","53,33","2,38","18,97","255,36","0,00","255,36","1,02","0,00","0,00","0,00","21,27","63,49","23,49","92,50","3,98","427,00","83,65","0,00","221,11","2,34","0,82","0,41","68,71","141,70","4,40","10,05","9,37","7,03","2,19","6,10","12,66","21,11","27,84","32,61"
14,20008,Amezketa,100.0,"6,40","0,00","25,15","46,10","10,06","5,39","0,00","2,00","99,18","32,37","-3,21","152,96","5,34","0,00","45,46","100,00","98,47","40,23","10,66","0,00","262,09","28,46","0,00","7,69","45,39","63,40","16,01","71,43","21,26","21,35","12,36","29,21","37,08","6,40","16,24","384,31","10,33","384,31","1,00","12,82","0,00","0,00","15,43","41,80","12,52","98,28","4,70","936,00","66,84","0,00","25,15","5,34","0,86","0,24","62,75","100,90","33,33","67,40","8,55","-3,21","5,10","9,31","-1,89","20,40","30,93","20,98"
15,48003,Amorebieta-Etxano,44.0,"10,37","20,35","170,07","39,70","1,67","1,84","3,73","3,00","98,90","69,28","0,11","150,54","9,73","6,82","322,53","44,00","76,28","25,84","3,18","1,58","276,20","65,74","104,42","5,34","43,85","75,70","23,11","65,33","19,45","17,15","8,08","2,42","72,34","6,19","15,56","170,81","4,84","170,81","0,64","7,49","0,00","79,76","20,42","62,93","22,52","79,93","8,17","18.955,00","61,53","1,17","170,07","11,13","6,69","0,41","63,76","91,90","5,87","6,90","8,76","0,11","0,83","5,99","8,92","9,67","20,43","9,14"
16,48004,Amoroto,66.67,"7,06","0,00","183,57","53,90","0,00","0,00","72,46","3,00","100,00","10,05","0,00","173,65","0,00","2,35","32,54","66,67","98,04","24,75","0,00","23,53","244,78","43,18","0,00","0,00","42,00","68,90","25,88","68,65","21,18","14,29","9,52","9,52","66,67","11,76","14,12","119,43","0,00","119,43","0,78","23,53","0,00","0,00","17,65","53,48","18,18","100,00","4,00","425,00","70,45","0,00","183,57","0,00","0,85","0,61","82,92","166,80","24,73","55,56","16,47","0,00","16,41","31,58","3,91","18,58","27,46","30,30"
17,1002,Amurrio,85.71,"10,41","33,30","206,57","42,50","1,99","3,85","8,16","3,00","100,00","71,67","-0,19","181,55","9,93","6,62","107,11","85,71","83,52","29,44","3,90","3,89","481,64","27,11","107,46","4,39","43,32","73,60","20,44","64,58","20,82","12,66","8,73","9,87","68,73","6,33","14,63","34,87","8,79","34,87","0,66","7,68","0,39","29,40","22,05","61,81","20,59","73,78","5,90","10.291,00","56,50","1,17","206,57","4,66","3,25","2,45","58,03","96,90","12,08","29,85","10,11","-0,19","7,14","19,29","4,17","14,12","20,48","10,69"
18,20009,Andoain,21.21,"12,64","19,07","133,82","46,60","0,68","2,17","3,41","3,00","100,00","49,19","-2,46","160,70","8,61","4,71","539,13","21,21","86,94","38,50","4,11","2,73","335,49","55,82","123,89","4,91","57,28","71,40","15,03","71,89","22,03","15,03","10,29","2,87","71,81","4,44","15,64","191,76","8,19","191,76","0,61","1,43","0,00","35,00","20,90","58,71","17,89","75,96","5,20","14.659,00","71,90","1,64","133,82","2,93","5,70","1,36","58,00","79,70","26,37","19,64","6,69","-2,46","1,20","10,67","3,12","9,78","23,22","8,51"
19,20010,Anoeta,100.0,"4,93","0,00","156,22","33,90","5,41","5,66","0,00","3,00","99,18","84,07","3,40","147,89","7,39","3,94","502,68","100,00","91,41","38,97","5,01","0,00","224,91","31,99","0,00","4,26","52,75","68,10","28,59","60,51","15,62","14,29","12,78","5,26","67,67","5,42","17,47","27,68","5,28","27,68","0,74","3,40","0,00","0,00","22,36","58,26","18,30","96,71","6,70","2.061,00","85,10","0,00","156,22","0,49","5,39","0,73","51,95","82,70","4,12","5,41","9,70","3,40","0,48","4,15","15,33","10,72","9,24","9,38"
