,Código municipio,Municipio,2009_1,2009_2,2009_3,2009_4,2010_5,2009_6,2009_7,2009_8,2009_9,2009_10,2009_11,2009_12,2011_13,2009_14,2009_15,2009_16,2009_17,2001_18,2009_19,2009_20,2009_21,2005_22,2005_23,2009_24,2009_25,2005_26,2011_27,2009_28,2009_29,2009_30,2009_31,2009_32,2012,2009_34,2009_35,2009_36,2009_37,2009_38,2009_39,2009_40,2009_41,2009_42,2009_43,2010_44,2010_45,2010_46,2011_47,2009_48,2009_48,2011_50,2009_51,2009_52,2009_53,2009_54,2005_55,2005,2006_57,2009_58,2009_59,2009_60,2009_61,2006_62,2007,2009_64,2001_65,2010,2009,2011_partic,estado_animo,satisfaccion_ocio,valor_vida,satisfaccion_vida
30,20055,Arrasate/Mondragón,48.39,"3,90","11,10","181,73","36,30","2,27","2,29","6,77","3,00","96,44","0,00","-1,45","164,28","13,37","9,70","643,27","48,39","74,03","21,49","3,63","1,36","339,55","50,91","98,16","5,10","17,30","72,80","29,22","56,27","20,26","17,62","8,69","2,48","73,69","5,89","11,60","352,01","8,18","352,01","0,61","5,72","0,91","31,05","18,44","57,06","19,61","66,26","4,07","22.064,00","44,93","1,32","181,73","4,80","5,81","0,67","67,00","82,16","17,61","15,95","7,67","-1,45","5,87","3,50","-8,01","5,23","12,90","5,73",2,2,1,1,2
31,48914,Arratzu,50.0,"10,61","0,00","142,48","44,10","0,00","0,00","0,00","3,00","98,90","0,00","2,65","195,80","0,00","0,00","38,03","50,00","100,00","29,66","0,00","0,00","156,96","43,90","0,00","30,00","41,51","68,80","61,01","54,32","23,20","45,83","8,33","17,24","45,83","5,33","10,13","433,51","0,00","433,51","0,68","0,00","0,00","0,00","16,76","56,25","22,73","92,86","2,93","375,00","91,71","2,64","142,48","0,00","0,68","3,85","70,79","145,10","7,46","13,19","10,61","2,65","11,27","16,29","-5,06","12,43","21,86","76,92",1,1,2,2,1
32,1008,Arratzua-Ubarrundia,50.0,"68,70","0,00","741,51","46,40","0,00","0,00","65,72","1,00","99,73","0,00","-1,09","233,60","0,00","2,17","16,05","50,00","100,00","37,79","0,00","21,72","286,61","10,84","100,00","0,00","44,45","71,10","118,87","48,07","13,68","15,49","5,63","23,16","78,87","15,20","14,88","772,27","0,00","772,27","0,97","0,00","0,00","105,26","19,64","60,84","20,60","85,19","2,71","921,00","84,39","0,00","741,51","-6,51","1,16","33,61","29,32","149,04","9,05","65,72","7,63","-1,09","2,43","10,38","21,83","10,67","30,15","62,99",2,2,2,2,2
33,48010,Arrieta,100.0,"3,60","0,00","62,72","46,40","0,00","5,30","0,00","2,00","98,90","0,00","-5,41","285,11","1,81","1,81","38,00","100,00","100,00","100,00","0,00","0,00","250,78","78,67","0,00","0,00","54,47","68,20","27,03","65,96","22,14","20,83","12,50","32,35","66,67","3,63","14,88","770,37","0,00","770,37","0,80","0,00","0,00","0,00","14,82","56,13","25,10","100,00","3,45","551,00","87,45","0,00","62,72","1,81","0,73","0,14","63,17","125,71","9,43","17,92","5,41","-5,41","11,77","20,11","12,91","24,65","22,36","59,52",1,1,2,2,1
34,48011,Arrigorriaga,57.14,"3,79","0,00","2,02","31,30","1,62","2,50","1,70","3,00","100,00","19,96","3,23","180,82","8,20","4,58","777,19","57,14","71,15","38,59","3,24","1,61","297,26","40,09","86,23","0,91","35,41","71,70","28,56","52,58","13,82","19,79","13,32","0,86","66,89","5,63","15,83","390,68","8,09","390,68","0,57","14,32","0,00","79,36","16,35","59,42","21,03","94,45","4,04","12.435,00","84,16","1,29","2,02","1,93","5,69","1,56","57,50","84,63","20,53","15,13","10,24","3,23","1,92","6,86","18,08","6,78","11,82","12,21",2,1,2,2,1
35,48023,Artea,40.0,"6,61","0,00","442,11","37,20","0,00","0,00","5,26","3,00","96,44","72,42","0,00","180,76","3,99","2,66","60,56","40,00","99,22","29,56","13,16","13,32","288,81","45,82","0,00","3,33","49,43","72,60","27,78","50,20","17,58","21,67","11,67","7,35","66,67","10,65","13,18","1.018,12","0,00","1.018,12","0,85","44,74","0,00","0,00","17,91","68,58","28,34","100,00","4,66","751,00","89,31","1,32","442,11","17,31","1,52","1,94","74,60","111,10","12,17","30,26","7,94","0,00","0,82","9,01","21,92","30,15","20,20","36,36",1,1,2,2,1
36,48008,Artzentales,60.0,"9,71","0,00","104,25","63,50","0,00","5,29","0,00","2,00","100,00","0,00","-6,93","237,75","2,81","2,81","19,40","60,00","100,00","80,74","13,72","0,00","297,82","87,41","0,00","11,11","47,61","60,00","58,25","63,30","22,75","40,00","6,00","34,21","54,00","5,62","11,10","127,00","0,00","127,00","0,90","57,61","0,00","0,00","19,05","57,14","15,92","95,00","4,21","712,00","82,27","2,74","104,25","39,33","0,43","0,00","58,23","122,25","10,26","21,95","12,48","-6,93","13,98","23,24","6,27","4,39","47,61","47,06",1,1,2,2,1
37,1004,Artziniega,60.0,"9,35","0,00","297,03","38,20","0,00","7,33","0,00","2,00","100,00","0,00","1,65","210,57","10,45","6,05","66,35","60,00","88,89","38,45","5,50","5,50","360,66","22,30","86,54","1,75","65,34","66,00","25,85","49,26","14,25","21,83","7,04","16,90","71,13","8,80","14,58","47,30","11,00","47,30","0,64","7,70","0,00","194,03","19,39","65,97","21,93","97,38","5,01","1.818,00","77,74","0,00","297,03","2,75","2,31","0,73","58,03","101,27","9,78","34,10","12,65","1,65","14,92","23,27","35,87","1,69","14,51","14,87",2,2,2,2,2
38,1009,Asparrena,82.61,"19,25","0,00","353,57","47,60","0,00","7,21","0,00","3,00","99,73","13,01","9,63","684,69","4,26","1,22","25,21","82,61","98,15","18,54","5,95","12,17","631,71","34,33","66,67","7,69","52,03","67,40","74,01","57,32","19,28","16,13","20,16","17,05","63,71","8,52","13,02","124,75","5,95","124,75","0,80","22,62","0,00","37,74","16,49","48,48","14,57","98,23","7,24","1.644,00","59,00","1,79","353,57","4,26","1,93","25,67","54,56","100,48","3,97","29,76","15,04","9,63","2,76","29,89","5,32","8,43","31,05","46,22",2,2,2,2,2
39,20014,Asteasu,85.71,"7,45","0,00","293,28","38,40","6,79","0,00","20,37","1,00","96,71","0,00","6,78","156,40","7,44","4,06","87,46","85,71","98,28","29,63","6,79","0,00","288,53","28,58","100,00","7,14","52,75","62,40","32,52","61,18","14,61","17,99","25,93","22,02","56,08","5,41","19,28","402,16","6,79","402,16","0,91","12,22","0,00","27,15","16,60","49,07","15,15","100,00","3,38","1.478,00","76,05","2,04","293,28","0,68","2,53","0,71","43,49","112,54","28,10","81,47","13,55","6,78","4,16","10,74","25,36","18,60","16,18","6,87",2,2,1,1,2
